Origem,Destino,Distancia
ACRELANDIA,ITACARE,4145.677824389922
ACRELANDIA,ITAETE,3840.268070851215
ACRELANDIA,ITAGI,3997.7819452302624
ACRELANDIA,ITAGIBA,4022.9372844988807
ACRELANDIA,ITAGIMIRIM,4094.516820567278
ACRELANDIA,ITAGUACU DA BAHIA,3619.125281411987
ACRELANDIA,ITAJU DO COLONIA,4056.693876356183
ACRELANDIA,ITAJUIPE,4097.692996106011
ACRELANDIA,ITAMARAJU,4132.465564855088
ACRELANDIA,ITAMARI,4038.13263260494
ACRELANDIA,ITAMBE,3929.953335792776
ACRELANDIA,ITANAGRA,4262.864017141788
ACRELANDIA,ITANHEM,4024.271969812009
ACRELANDIA,ITAPARICA,4175.002766802224
ACRELANDIA,ITAPE,4094.6786721015433
ACRELANDIA,ITAPEBI,4102.591426548412
ACRELANDIA,ITAPETINGA,3984.3535856419976
ACRELANDIA,ITAPICURU,4232.098741570306
ACRELANDIA,ITAPITANGA,4065.8008706572987
ACRELANDIA,ITAQUARA,3996.013001352358
ACRELANDIA,ITARANTIM,4019.920487557909
ACRELANDIA,ITATIM,4024.450619434174
ACRELANDIA,ITIRUCU,3966.533462480309
ACRELANDIA,ITIUBA,3993.6340324603348
ACRELANDIA,ITORORO,4005.8507704381477
ACRELANDIA,ITUACU,3805.245601479934
ACRELANDIA,ITUBERA,4115.980199568363
ACRELANDIA,IUIU,3490.713454947
ACRELANDIA,JABORANDI,3346.984835348571
ACRELANDIA,JACARACI,3661.6507041448135
ACRELANDIA,JACOBINA,3896.284997584505
ACRELANDIA,JAGUAQUARA,3992.698736228623
ACRELANDIA,JAGUARARI,3944.6003259464323
ACRELANDIA,JAGUARIPE,4145.060806836146
ACRELANDIA,JANDAIRA,4298.613280458518
ACRELANDIA,JEQUIE,3981.2767852646657
ACRELANDIA,JEREMOABO,4217.260460974249
ACRELANDIA,JIQUIRICA,4047.441133342942
ACRELANDIA,JITAUNA,4012.7278911576204
ACRELANDIA,JOAO DOURADO,3727.3586758413503
ACRELANDIA,JUAZEIRO,3903.850256448982
ACRELANDIA,JUCURUCU,4039.5033991531
ACRELANDIA,JUSSARA,3682.521300375236
ACRELANDIA,JUSSARI,4090.7440423124813
ACRELANDIA,JUSSIAPE,3757.026116648091
ACRELANDIA,LAFAIETE COUTINHO,3959.47990171885
ACRELANDIA,LAGOA REAL,3686.0738691312463
ACRELANDIA,LAJE,4068.5149524034123
ACRELANDIA,LAJEDAO,4037.921718402293
ACRELANDIA,LAJEDINHO,3844.3994117731318
ACRELANDIA,LAJEDO DO TABOCAL,3955.55279952949
ACRELANDIA,LAMARAO,4134.553961513463
ACRELANDIA,LAPAO,3702.437344991054
ACRELANDIA,LAURO DE FREITAS,4226.220748535104
ACRELANDIA,LENCOIS,3774.5283925328395
ACRELANDIA,LICINIO DE ALMEIDA,3647.6661428480224
ACRELANDIA,LIVRAMENTO DO BRUMADO,3722.758760255723
ACRELANDIA,MACAJUBA,3921.962286393635
ACRELANDIA,MACARANI,3966.12584806811
ACRELANDIA,MACAUBAS,3589.918693424398
ACRELANDIA,MACURURE,4120.514899183297
ACRELANDIA,MADRE DE DEUS,4181.132255403679
ACRELANDIA,MAETINGA,3792.3157930029547
ACRELANDIA,MAIQUINIQUE,3990.417797758165
ACRELANDIA,MAIRI,3952.10741439653
ACRELANDIA,MALHADA,3457.272118413461
ACRELANDIA,MALHADA DE PEDRAS,3731.825617092389
ACRELANDIA,MANOEL VITORINO,3962.7308186032255
ACRELANDIA,MANSIDAO,3377.0688077586524
ACRELANDIA,MARACAS,3924.6157223234263
ACRELANDIA,MARAGOGIPE,4138.985029826707
ACRELANDIA,MARAU,4140.134202072573
ACRELANDIA,MARCIONILIO SOUZA,3904.671386763979
ACRELANDIA,MASCOTE,4126.0805796878885
ACRELANDIA,MATA DE SAO JOAO,4227.8583970333975
ACRELANDIA,MATINA,3582.464253614396
ACRELANDIA,MEDEIROS NETO,4046.5355899252636
ACRELANDIA,MIGUEL CALMON,3884.987767024879
ACRELANDIA,MILAGRES,4002.560179524558
ACRELANDIA,MIRANGABA,3887.28050536709
ACRELANDIA,MIRANTE,3887.8571541713104
ACRELANDIA,MONTE SANTO,4070.9806111717876
ACRELANDIA,MORPARA,3489.914214211021
ACRELANDIA,MORRO DO CHAPEU,3803.041367172284
ACRELANDIA,MORTUGABA,3675.7628075814755
ACRELANDIA,MUCUGE,3782.1706307893623
ACRELANDIA,MUCURI,4164.127939931956
ACRELANDIA,MULUNGU DO MORRO,3734.6042403274423
ACRELANDIA,MUNDO NOVO,3904.2516183249627
ACRELANDIA,MUNIZ FERREIRA,4111.866151901535
ACRELANDIA,MUQUEM DE SAO FRANCISCO,3455.252811756361
ACRELANDIA,MURITIBA,4126.0719328367195
ACRELANDIA,MUTUIPE,4057.2997222282056
ACRELANDIA,NAZARE,4126.754644997351
ACRELANDIA,NILO PECANHA,4119.959354923896
ACRELANDIA,NORDESTINA,4056.8695045871673
ACRELANDIA,NOVA CANAA,3989.134982329349
ACRELANDIA,NOVA FATIMA,4026.6849617243342
ACRELANDIA,NOVA IBIA,4047.4126967697166
ACRELANDIA,NOVA ITARANA,3973.4496363417647
ACRELANDIA,NOVA REDENCAO,3823.8022272846865
ACRELANDIA,NOVA SOURE,4195.2452324854075
ACRELANDIA,NOVA VICOSA,4182.536488938895
ACRELANDIA,NOVO HORIZONTE,3664.574516230214
ACRELANDIA,NOVO TRIUNFO,4208.700135304817
ACRELANDIA,OLINDINA,4217.4251786375635
ACRELANDIA,OLIVEIRA DOS BREJINHOS,3552.707386031857
ACRELANDIA,OURICANGAS,4178.045362688573
ACRELANDIA,OUROLANDIA,3812.125317749029
ACRELANDIA,PALMAS DE MONTE ALTO,3543.508528818607
ACRELANDIA,PALMEIRAS,3750.7508071477087
ACRELANDIA,PARAMIRIM,3663.0147450960712
ACRELANDIA,PARATINGA,3514.3952527263655
ACRELANDIA,PARIPIRANGA,4287.172442858537
ACRELANDIA,PAU BRASIL,4073.7634590976127
ACRELANDIA,PAULO AFONSO,4241.064370060929
ACRELANDIA,PE DE SERRA,4030.45342121745
ACRELANDIA,PEDRAO,4172.846635736978
ACRELANDIA,PEDRO ALEXANDRE,4285.485910640036
ACRELANDIA,PIATA,3725.772381002992
ACRELANDIA,PILAO ARCADO,3604.432212323629
ACRELANDIA,PINDAI,3617.557220082246
ACRELANDIA,PINDOBACU,3918.346318243268
ACRELANDIA,PINTADAS,3987.7758573003885
ACRELANDIA,PIRAI DO NORTE,4082.9920658265432
ACRELANDIA,PIRIPA,3765.4975151123845
ACRELANDIA,PIRITIBA,3891.9491168863497
ACRELANDIA,PLANALTINO,3932.370038352132
ACRELANDIA,PLANALTO,3939.2563932530725
ACRELANDIA,POCOES,3952.3818960747944
ACRELANDIA,POJUCA,4222.814121266482
ACRELANDIA,PONTO NOVO,3952.1586285608296
ACRELANDIA,PORTO SEGURO,4182.268239619679
ACRELANDIA,POTIRAGUA,4045.349623469114
ACRELANDIA,PRADO,4185.5160123981495
ACRELANDIA,PRESIDENTE DUTRA,3680.0935958257146
ACRELANDIA,PRESIDENTE JANIO QUADROS,3766.8706725908187
ACRELANDIA,PRESIDENTE TANCREDO NEVES,4071.5393661453286
ACRELANDIA,QUEIMADAS,4027.2854281135237
ACRELANDIA,QUIJINGUE,4087.9293717790633
ACRELANDIA,QUIXABEIRA,3954.110886764247
ACRELANDIA,RAFAEL JAMBEIRO,4049.79350453698
ACRELANDIA,REMANSO,3668.652990962225
ACRELANDIA,RETIROLANDIA,4057.2724199270388
ACRELANDIA,RIACHAO DAS NEVES,3251.7104812400034
